Result,WhiteElo,BlackElo,EloDiff,Event,ECO_enc,Termination,TimeControl_enc
1,2669,2625,44,0,101,0,6
1,2516,2337,179,0,120,1,6
1,2468,2435,33,0,106,0,6
1,2404,2337,67,0,10,0,6
1,2295,2438,-143,0,492,0,6
1,2638,2445,193,0,346,0,6
1,2484,2260,224,0,201,0,8
1,2427,2365,62,0,36,1,6
1,2444,2450,-6,0,414,1,6
1,2386,2508,-122,0,43,1,6
1,2395,2449,-54,0,5,1,6
1,2402,2370,32,0,211,0,8
1,2334,2442,-108,0,335,0,6
1,2549,2468,81,0,1,0,6
1,2597,2338,259,0,5,0,6
1,2636,2411,225,0,477,0,6
1,2400,2473,-73,0,304,1,8
1,2469,2211,258,0,40,0,6
1,2465,2376,89,0,16,0,6
1,2361,2510,-149,0,106,1,6
1,2534,2448,86,0,101,0,6
1,2487,2251,236,0,11,1,6
1,2518,2509,9,0,112,0,6
1,2665,2555,110,0,53,0,6
1,2585,2317,268,0,8,1,6
1,2442,2327,115,0,145,0,6
1,2406,2358,48,0,333,1,6
1,2737,2657,80,0,301,0,6
1,2334,2411,-77,0,49,0,6
1,2557,2483,74,0,101,0,6
1,2438,2364,74,0,44,0,6
1,2306,2417,-111,0,40,0,6
1,2479,2422,57,0,7,0,6
1,2408,2280,128,0,154,1,6
1,2495,2382,113,0,17,1,6
1,2540,2497,43,0,200,0,6
1,2307,2439,-132,0,40,0,6
1,2413,2483,-70,0,57,1,6
1,2275,2438,-163,0,106,1,6
1,2421,2533,-112,0,122,0,6
1,2354,2440,-86,0,48,0,6
1,2444,2381,63,0,265,0,6
1,2431,2474,-43,0,123,0,6
1,2549,2421,128,0,30,0,6
1,2422,2477,-55,0,107,0,6
1,2540,2453,87,0,153,0,6
1,2409,2398,11,0,96,0,6
1,2259,2419,-160,0,48,0,6
1,2554,2525,29,0,454,0,6
1,2343,2434,-91,0,31,0,6
1,2506,2483,23,0,301,1,6
1,2442,2447,-5,0,43,1,6
