Result,WhiteElo,BlackElo,Event_enc,ECO_enc,Termination_enc,TimeControl_enc
1,1706,1317,3,0,0,0
2,1496,1564,3,40,0,0
3,1500,1500,3,202,0,0
1,1569,1439,3,200,0,0
1,2016,1439,3,200,0,0
2,1500,2016,3,153,0,0
2,1500,1433,3,107,0,0
1,1902,1817,3,125,0,0
1,1500,1358,3,220,0,0
1,1682,1500,3,242,0,0
1,1450,1606,3,140,0,0
2,1841,1742,3,205,0,0
1,1764,1638,3,200,0,0
2,1500,1500,3,0,0,0
2,1469,1500,3,130,0,0
3,1529,1505,3,40,0,0
1,1713,1489,3,241,0,0
1,1817,1940,3,29,0,0
2,1450,1522,3,220,0,0
2,1925,1817,3,404,0,0
2,1609,1595,3,0,0,0
1,1578,1483,3,230,0,0
2,1713,1647,3,108,0,0
2,1667,1500,3,102,0,0
2,1651,1500,3,125,0,0
1,1427,1328,3,223,1,0
1,1522,1541,3,220,0,0
1,1685,1737,3,324,0,0
2,1685,1776,3,453,0,0
2,1660,1776,3,226,0,0
2,1524,1541,3,0,0,0
2,1779,1500,3,120,1,0
2,1630,1432,3,102,0,0
1,1501,1439,3,4,0,0
1,1501,1439,3,4,0,0
3,1507,1527,3,0,0,0
2,1464,1940,3,0,1,0
1,1429,1517,3,100,0,0
2,1561,1606,3,4,0,0
1,1742,1506,3,202,0,0
2,1831,1314,3,123,0,0
2,1414,1742,3,120,0,0
2,1817,1925,3,130,0,0
2,1921,1946,3,306,1,0
1,2250,2145,3,245,0,0
2,1541,1567,3,123,0,0
1,2084,1946,3,121,1,0
2,1660,1789,3,242,1,0
1,1500,1500,3,106,0,0
2,2084,1973,3,119,1,0
1,1973,1759,3,231,0,0
1,1973,1920,3,389,0,0
2,1494,1644,3,102,1,0
2,1661,1712,3,0,0,0
1,1808,1858,3,133,0,0
1,2250,1998,3,127,1,0
2,2004,1917,3,101,1,0
1,1917,2004,3,121,1,0
2,1947,1917,3,43,0,0
2,1268,1334,3,220,1,0
2,1500,1622,3,220,1,0
1,1500,1527,3,53,0,0
2,1527,1588,3,302,0,0
2,1863,1500,3,45,0,0
1,1500,1500,3,241,0,0
2,1917,2290,3,250,0,0
2,1500,1863,3,241,1,0
2,1494,1246,3,244,1,0
1,1420,1816,3,300,0,0
2,1500,1500,3,0,0,0
1,1435,1500,3,246,1,0
3,1917,1799,3,244,0,0
1,1500,1500,3,302,0,0
2,1838,1605,3,107,0,0
2,1500,1500,3,40,1,0
2,1500,1500,3,40,0,0
1,1513,1563,3,210,0,0
1,1667,1343,3,100,0,0
1,1981,1939,3,241,1,0
2,1939,1799,3,242,1,0
1,1799,1939,3,302,1,0
1,1551,1526,3,220,0,0
1,1500,1500,3,4,0,0
2,1516,1561,3,200,0,0
1,1500,1527,3,107,0,0
2,1500,1672,3,120,0,0
1,1249,1500,3,43,0,0
2,1343,1667,3,46,0,0
2,1761,1917,3,43,0,0
3,2246,2230,3,108,0,0
3,1544,1691,3,241,0,0
2,1500,1608,3,200,1,0
1,1629,1817,3,6,0,0
2,2246,2290,3,225,1,0
3,1255,1761,3,101,0,0
1,1664,1366,3,240,0,0
1,1725,1453,3,220,0,0
2,2038,1917,3,0,1,0
1,1664,1359,3,220,0,0
1,1343,1500,3,100,0,0
3,1319,1707,3,220,0,0
2,1506,1616,3,200,0,0
2,1372,1399,3,302,1,0
2,1575,1673,3,40,0,0
2,1917,1741,3,250,0,0
2,1741,1474,3,278,0,0
1,1667,1343,3,34,0,0
1,1667,1917,3,121,0,0
2,1678,1917,3,101,0,0
1,1688,1678,3,102,0,0
2,1442,1725,3,107,1,0
2,1509,1680,3,241,0,0
2,1917,1742,3,240,0,0
2,1500,1500,3,40,0,0
1,1492,1500,3,107,0,0
2,1600,1511,3,221,0,0
1,1958,1811,3,335,0,0
1,1958,2237,3,307,1,0
2,1811,1958,3,113,0,0
2,1667,1958,3,8,1,0
1,1727,1287,3,241,0,0
1,1921,1811,3,250,0,0
2,2237,1921,3,146,1,0
1,1921,2237,3,345,1,0
2,2237,1921,3,130,1,0
1,1921,2237,3,121,1,0
2,1921,1958,3,214,0,0
1,1560,1493,3,6,0,0
2,1494,1369,3,4,0,0
2,1500,1685,3,300,1,0
2,1921,2099,3,130,0,0
2,1854,1921,3,43,0,0
2,1436,1304,3,0,0,0
1,1705,1855,3,210,0,0
1,1404,1299,3,40,0,0
3,1235,1456,3,0,0,0
1,1500,1500,3,0,1,0
2,1500,1447,3,82,0,0
2,1276,1427,3,0,0,0
2,1705,1921,3,120,0,0
1,1463,1235,3,100,0,0
2,1208,1488,3,0,0,0
2,1835,1705,3,250,1,0
1,1507,1188,3,0,0,0
2,1172,1522,3,394,0,0
2,1500,1667,3,1,0,0
1,1796,1650,3,200,0,0
2,1606,1678,3,100,1,0
1,1500,1606,3,244,0,0
1,1716,1600,3,246,0,0
2,1441,1655,3,260,1,0
1,1534,1159,3,6,0,0
2,1148,1545,3,0,0,0
1,1937,1811,3,270,0,0
2,1810,1937,3,21,0,0
2,1953,1950,3,105,1,0
1,1950,1953,3,262,1,0
1,1633,1835,3,269,1,0
2,1811,1953,3,262,0,0
1,2100,1950,3,103,1,0
1,1500,1500,3,222,0,0
2,1593,1724,3,268,0,0
1,1450,1441,3,127,1,0
2,1441,1835,3,270,1,0
1,1588,1702,3,330,0,0
1,1388,1343,3,40,0,0
1,1900,1358,3,50,0,0
1,2290,2080,3,335,0,0
2,1624,1669,3,120,0,0
2,1935,1953,3,15,0,0
1,1600,1511,3,221,0,0
1,1935,2080,3,335,0,0
2,1126,1771,3,101,0,0
1,1500,1324,3,300,0,0
2,1875,1894,3,4,0,0
1,1888,2080,3,246,0,0
3,1500,1587,3,414,0,0
2,1326,1718,3,129,0,0
2,1011,1500,3,240,1,0
1,1953,1967,3,101,0,0
2,1614,1875,3,389,1,0
2,2080,1971,3,132,0,0
2,1679,1876,3,120,1,0
2,1621,1851,3,0,1,0
2,1679,1876,3,220,1,0
1,1500,1679,3,241,1,0
2,1699,1679,3,241,0,0
2,1665,1810,3,311,0,0
2,1679,1876,3,220,1,0
2,1698,1848,3,9,0,0
2,1439,1876,3,0,0,0
2,1831,1316,3,8,1,0
1,1728,1316,3,220,0,0
1,1500,1740,3,113,1,0
2,1439,1637,3,0,0,0
2,2080,2052,3,242,0,0
2,1792,1799,3,337,0,0
1,1902,1938,3,302,0,0
1,1875,1500,3,4,0,0
2,1500,1891,3,0,1,0
2,1584,1754,3,241,0,0
1,1420,1655,3,42,0,0
